season,weekday,weathersit,temp,atemp,hum,windspeed,cnt,time_of_day
Winter,1,Clear,3.28,1.0016,0.32,7.0015,157,Evening
Winter,1,Clear,1.4,1.0016,0.47,0,110,Evening
Winter,1,Clear,1.4,-0.9982,0.47,7.0015,52,Night
Winter,1,Clear,0.46,-2.998,0.64,8.9981,52,Night
Winter,1,Clear,-1.42,-6.001,0.69,8.9981,20,Night
Winter,1,Clear,0.46,-2.0014,0.55,7.0015,12,Night
Winter,2,Clear,-0.48,-4.0012,0.55,7.0015,5,Night
Winter,2,Clear,-0.48,-4.0012,0.59,7.0015,2,Night
Winter,2,Clear,-1.42,-6.001,0.63,8.9981,1,Night
Winter,2,Clear,-1.42,-4.0012,0.63,6.0032,2,Night
Winter,2,Clear,-2.36,-6.001,0.68,7.0015,4,Morning
Winter,2,Clear,-2.36,-6.001,0.74,7.0015,36,Morning
Winter,2,Clear,-2.36,-6.001,0.74,8.9981,94,Morning
Winter,2,Clear,-1.42,-6.001,0.69,11.0014,179,Morning
Winter,2,Clear,-0.48,-6.001,0.64,15.0013,100,Morning
Winter,2,Mist,-0.48,-6.9976,0.69,22.0028,42,Morning
Winter,2,Clear,2.34,-2.0014,0.51,19.9995,57,Morning
Winter,2,Clear,2.34,-0.9982,0.51,11.0014,78,Morning
Winter,2,Clear,3.28,-0.9982,0.56,12.998,97,Evening
Winter,2,Clear,4.22,1.0016,0.52,15.0013,63,Evening
Winter,2,Clear,5.16,1.9982,0.52,16.9979,65,Evening
Winter,2,Clear,6.1,3.0014,0.49,16.9979,83,Evening
Winter,2,Clear,5.16,1.9982,0.48,15.0013,212,Evening
Winter,2,Clear,4.22,1.0016,0.48,12.998,182,Evening
Winter,2,Clear,3.28,1.0016,0.48,7.0015,112,Evening
Winter,2,Clear,3.28,1.0016,0.48,7.0015,54,Night
Winter,2,Clear,2.34,1.9982,0.64,0,48,Night
Winter,2,Clear,2.34,1.0016,0.64,6.0032,35,Night
Winter,2,Clear,1.4,-0.9982,0.69,6.0032,11,Night
Winter,3,Clear,1.4,1.0016,0.64,0,6,Night
Winter,3,Clear,-0.48,-2.998,0.74,6.0032,6,Night
Winter,3,Clear,-0.48,-2.998,0.74,6.0032,2,Night
Winter,3,Clear,3.28,-0.9982,0.48,15.0013,2,Night
Winter,3,Clear,2.34,-0.9982,0.47,11.0014,3,Morning
Winter,3,Clear,1.4,-2.998,0.47,15.0013,33,Morning
Winter,3,Clear,0.46,-4.0012,0.43,12.998,88,Morning
Winter,3,Clear,1.4,-4.0012,0.4,19.9995,195,Morning
Winter,3,Clear,2.34,-2.998,0.37,22.0028,115,Morning
Winter,3,Clear,2.34,-2.998,0.37,22.0028,57,Morning
Winter,3,Clear,4.22,-0.9982,0.33,22.0028,46,Morning
Winter,3,Clear,4.22,-0.9982,0.33,22.0028,79,Morning
Winter,3,Clear,5.16,1.0016,0.3,19.9995,71,Evening
Winter,3,Clear,6.1,3.0014,0.28,12.998,62,Evening
Winter,3,Clear,6.1,3.0014,0.28,12.998,62,Evening
Winter,3,Clear,6.1,5.0012,0.28,6.0032,89,Evening
Winter,3,Clear,3.28,-0.9982,0.38,12.998,190,Evening
Winter,3,Clear,3.28,-0.0016,0.38,8.9981,169,Evening
Winter,3,Clear,3.28,1.0016,0.38,7.0015,132,Evening
Winter,3,Clear,2.34,-0.9982,0.47,11.0014,89,Night
Winter,3,Clear,1.4,-2.998,0.51,12.998,43,Night
Winter,3,Clear,0.46,-2.998,0.55,8.9981,42,Night
Winter,3,Clear,1.4,1.0016,0.47,0,19,Night
Winter,4,Clear,0.46,-0.0016,0.55,0,11,Night
Winter,4,Clear,-0.48,-0.9982,0.64,0,4,Night
Winter,4,Clear,-0.48,-0.9982,0.64,0,2,Night
Winter,4,Mist,-0.48,-2.998,0.64,6.0032,1,Night
Winter,4,Mist,-1.42,-4.0012,0.69,6.0032,4,Morning
Winter,4,Mist,-1.42,-4.9978,0.63,7.0015,36,Morning
Winter,4,Mist,-0.48,-0.9982,0.59,0,95,Morning
Winter,4,Clear,-0.48,-0.9982,0.59,0,219,Morning
Winter,4,Mist,0.46,-0.0016,0.51,0,122,Morning
Winter,4,Clear,1.4,1.0016,0.47,0,45,Morning
Winter,4,Clear,2.34,1.0016,0.44,6.0032,59,Morning
Winter,4,Clear,4.22,3.0014,0.35,0,84,Morning
Winter,4,Clear,4.22,1.9982,0.35,7.0015,67,Evening
Winter,4,Clear,5.16,1.9982,0.36,11.0014,70,Evening
Winter,4,Clear,5.16,1.9982,0.36,0,62,Evening
Winter,4,Clear,4.22,1.0016,0.38,11.0014,86,Evening
Winter,4,Clear,2.34,-0.9982,0.51,11.0014,172,Evening
Winter,4,Clear,2.34,-0.9982,0.51,8.9981,163,Evening
Winter,4,Clear,2.34,1.0016,0.55,6.0032,112,Evening
Winter,4,Clear,1.4,-2.0014,0.51,11.0014,69,Night
Winter,4,Mist,2.34,-2.0014,0.55,15.0013,48,Night
Winter,4,Mist,2.34,-2.0014,0.51,19.0012,52,Night
Winter,4,Mist,1.4,-2.998,0.59,12.998,23,Night
Winter,5,Mist,1.4,-2.998,0.64,12.998,17,Night
Winter,5,Mist,1.4,-2.998,0.69,15.0013,7,Night
Winter,5,Mist,1.4,-2.998,0.69,15.0013,1,Night
Winter,5,Mist,1.4,-2.0014,0.69,8.9981,1,Night
Winter,5,Light Rain,2.34,1.9982,0.55,0,5,Morning
Winter,5,Mist,1.4,1.0016,0.69,0,34,Morning
Winter,5,Clear,1.4,-2.0014,0.69,8.9981,84,Morning
Winter,5,Clear,1.4,-2.998,0.51,16.9979,210,Morning
Winter,5,Clear,1.4,-4.0012,0.47,19.9995,134,Morning
Winter,5,Clear,2.34,-2.998,0.37,22.0028,63,Morning
Winter,5,Mist,1.4,-2.998,0.4,15.0013,67,Morning
Winter,5,Mist,1.4,-2.998,0.37,16.9979,59,Morning
Winter,5,Mist,1.4,-4.0012,0.37,19.0012,73,Evening
Winter,5,Mist,1.4,-2.998,0.4,16.9979,50,Evening
Winter,5,Mist,1.4,-2.0014,0.37,11.0014,72,Evening
Winter,5,Mist,1.4,-2.0014,0.37,11.0014,87,Evening
Winter,5,Mist,1.4,1.0016,0.37,0,187,Evening
Winter,5,Clear,1.4,-0.9982,0.4,6.0032,123,Evening
Winter,5,Clear,-0.48,-2.998,0.55,6.0032,95,Evening
Winter,5,Clear,0.46,-2.0014,0.47,7.0015,51,Night
Winter,5,Clear,0.46,-2.998,0.47,8.9981,39,Night
Winter,5,Mist,0.46,-2.998,0.43,11.0014,36,Night
Winter,5,Mist,0.46,-2.998,0.51,11.0014,15,Night
Winter,6,Mist,0.46,-2.998,0.51,11.0014,25,Night
Winter,6,Mist,0.46,-2.0014,0.55,6.0032,16,Night
Winter,6,Mist,0.46,-0.0016,0.55,0,16,Night
Winter,6,Light Rain,0.46,-2.998,0.55,11.0014,7,Night
Winter,6,Light Rain,0.46,-2.998,0.55,11.0014,1,Night
Winter,6,Mist,-0.48,-4.9978,0.74,11.0014,5,Morning
Winter,6,Mist,-0.48,-4.9978,0.74,11.0014,2,Morning
Winter,6,Mist,-0.48,-4.0012,0.74,7.0015,9,Morning
Winter,6,Light Rain,-0.48,-4.0012,0.93,7.0015,15,Morning
Winter,6,Light Rain,-0.48,-4.0012,0.93,7.0015,20,Morning
Winter,6,Mist,0.46,-2.998,0.8,11.0014,61,Morning
Winter,6,Mist,1.4,-4.0012,0.69,26.0027,62,Morning
Winter,6,Mist,1.4,-4.0012,0.59,23.9994,98,Morning
Winter,6,Clear,1.4,-4.0012,0.44,22.0028,102,Evening
Winter,6,Clear,1.4,-4.9978,0.32,32.9975,95,Evening
Winter,6,Clear,1.4,-4.9978,0.32,30.0026,74,Evening
Winter,6,Clear,0.46,-6.9976,0.29,30.0026,76,Evening
Winter,6,Clear,-0.48,-8.0008,0.37,36.9974,69,Evening
Winter,6,Clear,-1.42,-8.0008,0.39,19.9995,55,Evening
Winter,6,Clear,-1.42,-8.0008,0.36,16.9979,30,Evening
Winter,6,Clear,-2.36,-8.0008,0.36,16.9979,28,Night
Winter,6,Clear,-2.36,-8.9974,0.39,23.9994,37,Night
Winter,6,Clear,-2.36,-8.9974,0.36,26.0027,34,Night
Winter,6,Clear,-3.3,-12.0004,0.39,30.0026,22,Night
Winter,0,Clear,-3.3,-10.9972,0.42,26.0027,25,Night
Winter,0,Clear,-3.3,-12.0004,0.42,31.0009,12,Night
Winter,0,Clear,-3.3,-12.0004,0.46,31.0009,11,Night
Winter,0,Clear,-3.3,-10.9972,0.46,27.9993,4,Night
Winter,0,Clear,-4.24,-10.0006,0.53,12.998,1,Night
Winter,0,Clear,-4.24,-10.0006,0.53,12.998,1,Morning
Winter,0,Clear,-3.3,-10.0006,0.49,19.0012,1,Morning
Winter,0,Clear,-4.24,-10.0006,0.53,12.998,6,Morning
Winter,0,Clear,-3.3,-10.0006,0.49,19.0012,10,Morning
Winter,0,Clear,-2.36,-10.9972,0.46,35.0008,19,Morning
Winter,0,Clear,-1.42,-8.9974,0.43,26.0027,49,Morning
Winter,0,Clear,-0.48,-8.0008,0.4,35.0008,49,Morning
Winter,0,Clear,0.46,-6.9976,0.37,30.0026,83,Morning
Winter,0,Clear,1.4,-4.9978,0.34,30.0026,75,Evening
Winter,0,Clear,2.34,-4.0012,0.32,31.0009,72,Evening
Winter,0,Clear,2.34,-2.998,0.35,23.9994,82,Evening
Winter,0,Clear,1.4,-4.9978,0.34,30.0026,92,Evening
Winter,0,Clear,0.46,-6.001,0.37,26.0027,62,Evening
Winter,0,Clear,-0.48,-6.9976,0.4,22.0028,48,Evening
Winter,0,Clear,-0.48,-6.9976,0.43,22.0028,41,Evening
Winter,0,Clear,-1.42,-8.0008,0.46,16.9979,38,Night
Winter,0,Clear,-1.42,-8.9974,0.46,27.9993,20,Night
Winter,0,Clear,-1.42,-8.0008,0.46,19.9995,15,Night
Winter,0,Clear,-2.36,-6.9976,0.5,12.998,6,Night
Winter,1,Clear,-2.36,-8.0008,0.5,19.0012,5,Night
Winter,1,Clear,-2.36,-8.0008,0.5,19.0012,1,Night
Winter,1,Clear,-2.36,-8.0008,0.5,15.0013,3,Night
Winter,1,Clear,-2.36,-8.0008,0.5,15.0013,1,Night
Winter,1,Clear,-3.3,-8.0008,0.54,8.9981,3,Night
Winter,1,Clear,-3.3,-8.9974,0.54,16.9979,3,Morning
Winter,1,Clear,-2.36,-8.0008,0.5,19.0012,31,Morning
Winter,1,Clear,-2.36,-8.0008,0.5,15.0013,77,Morning
Winter,1,Mist,-2.36,-8.0008,0.5,19.0012,188,Morning
Winter,1,Mist,-1.42,-8.0008,0.5,16.9979,94,Morning
Winter,1,Mist,-1.42,-8.0008,0.5,19.9995,31,Morning
Winter,1,Mist,-0.48,-6.9976,0.47,19.0012,30,Morning
Winter,1,Mist,1.4,-4.0012,0.4,19.0012,52,Morning
Winter,1,Mist,1.4,-4.0012,0.4,19.0012,54,Evening
Winter,1,Mist,1.4,-2.998,0.4,15.0013,47,Evening
Winter,1,Mist,1.4,-2.998,0.4,15.0013,45,Evening
Winter,1,Clear,1.4,-2.0014,0.4,8.9981,74,Evening
Winter,1,Clear,1.4,-0.9982,0.4,7.0015,178,Evening
Winter,1,Clear,1.4,-2.998,0.4,15.0013,155,Evening
Winter,1,Clear,-0.48,-4.9978,0.47,11.0014,95,Evening
Winter,1,Clear,-0.48,-4.9978,0.5,11.0014,74,Night
Winter,1,Clear,-1.42,-6.9976,0.59,12.998,38,Night
Winter,1,Clear,-1.42,-6.001,0.59,11.0014,24,Night
Winter,1,Clear,-1.42,-6.001,0.59,11.0014,18,Night
Winter,2,Clear,-1.42,-4.9978,0.59,7.0015,12,Night
Winter,2,Clear,-1.42,-6.001,0.59,11.0014,3,Night
Winter,2,Mist,-0.48,-6.001,0.55,12.998,3,Night
Winter,2,Mist,-0.48,-4.0012,0.55,8.9981,6,Morning
Winter,2,Mist,-0.48,-4.0012,0.55,8.9981,27,Morning
Winter,2,Mist,-0.48,-0.9982,0.55,0,99,Morning
Winter,2,Mist,0.46,-2.0014,0.51,6.0032,217,Morning
Winter,2,Mist,0.46,-2.998,0.51,11.0014,130,Morning
Winter,2,Mist,1.4,-2.0014,0.51,11.0014,54,Morning
Winter,2,Mist,1.4,-2.0014,0.47,8.9981,35,Morning
Winter,2,Mist,1.4,-0.9982,0.51,7.0015,57,Morning
Winter,2,Mist,1.4,-0.9982,0.59,6.0032,52,Evening
Winter,2,Mist,1.4,-0.9982,0.59,6.0032,63,Evening
Winter,2,Mist,-0.48,-2.998,0.8,6.0032,47,Evening
Winter,2,Mist,-0.48,-6.001,0.86,15.0013,76,Evening
Winter,2,Mist,-0.48,-6.001,0.86,15.0013,136,Evening
Winter,2,Light Rain,-0.48,-4.0012,0.93,7.0015,95,Evening
Winter,2,Light Rain,-0.48,-0.9982,0.93,0,51,Evening
Winter,2,Light Rain,-0.48,-6.001,0.93,12.998,32,Night
Winter,2,Light Rain,-0.48,-2.998,0.86,6.0032,20,Night
Winter,2,Light Rain,-0.48,-4.0012,0.93,7.0015,29,Night
Winter,2,Light Rain,-0.48,-2.998,0.93,6.0032,19,Night
Winter,3,Mist,-0.48,-2.998,0.86,6.0032,7,Night
Winter,3,Mist,-0.48,-4.0012,0.86,7.0015,6,Night
Winter,3,Clear,-1.42,-6.001,0.86,8.9981,1,Night
Winter,3,Clear,-1.42,-6.001,0.86,11.0014,5,Morning
Winter,3,Clear,-2.36,-6.001,0.93,8.9981,16,Morning
Winter,3,Clear,-1.42,-6.001,0.69,8.9981,54,Morning
Winter,3,Clear,-0.48,-4.9978,0.59,11.0014,128,Morning
Winter,3,Clear,-0.48,-6.9976,0.59,22.0028,81,Morning
Winter,3,Clear,0.46,-4.0012,0.55,15.0013,39,Morning
Winter,3,Clear,1.4,-4.0012,0.51,26.0027,35,Morning
Winter,3,Clear,1.4,-6.001,0.47,39.0007,55,Morning
Winter,3,Clear,2.34,-2.998,0.44,23.9994,49,Evening
Winter,3,Clear,1.4,-4.0012,0.47,22.0028,44,Evening
Winter,3,Clear,1.4,-4.9978,0.47,27.9993,49,Evening
Winter,3,Clear,2.34,-2.998,0.44,22.0028,68,Evening
Winter,3,Clear,1.4,-4.0012,0.47,23.9994,139,Evening
Winter,3,Clear,1.4,-6.001,0.47,35.0008,137,Evening
Winter,3,Clear,0.46,-6.001,0.47,27.9993,83,Evening
Winter,3,Clear,-0.48,-6.9976,0.5,22.0028,56,Night
Winter,3,Clear,-0.48,-6.9976,0.55,22.0028,57,Night
Winter,3,Clear,-0.48,-8.0008,0.55,30.0026,33,Night
Winter,3,Clear,-1.42,-8.9974,0.59,27.9993,20,Night
Winter,4,Clear,-1.42,-8.0008,0.59,19.0012,7,Night
Winter,4,Clear,-1.42,-8.0008,0.5,19.0012,2,Night
Winter,4,Clear,-1.42,-8.0008,0.5,23.9994,2,Night
Winter,4,Clear,-1.42,-8.0008,0.5,22.0028,3,Night
Winter,4,Clear,-1.42,-8.0008,0.5,16.9979,4,Night
Winter,4,Clear,-1.42,-8.0008,0.5,19.9995,3,Morning
Winter,4,Clear,-2.36,-6.001,0.54,8.9981,28,Morning
Winter,4,Clear,-2.36,-6.001,0.54,8.9981,72,Morning
Winter,4,Clear,-1.42,-6.9976,0.5,12.998,202,Morning
Winter,4,Clear,-1.42,-8.0008,0.5,22.0028,139,Morning
Winter,4,Mist,-0.48,-6.9976,0.5,23.9994,38,Morning
Winter,4,Mist,1.4,-4.9978,0.44,30.0026,37,Morning
Winter,4,Clear,1.4,-4.9978,0.44,27.9993,52,Morning
Winter,4,Clear,2.34,-2.998,0.41,30.0026,83,Evening
Winter,4,Clear,2.34,-2.998,0.41,26.0027,42,Evening
Winter,4,Clear,3.28,-2.0014,0.38,19.9995,60,Evening
Winter,4,Clear,3.28,-2.0014,0.38,23.9994,78,Evening
Winter,4,Clear,1.4,-4.0012,0.4,19.0012,162,Evening
Winter,4,Clear,1.4,-4.0012,0.4,22.0028,144,Evening
Winter,4,Clear,-0.48,-6.001,0.47,16.9979,99,Evening
Winter,4,Clear,-0.48,-6.001,0.47,15.0013,64,Night
Winter,4,Clear,-1.42,-8.0008,0.46,19.9995,40,Night
Winter,4,Clear,-1.42,-8.0008,0.46,22.0028,30,Night
Winter,4,Clear,-2.36,-6.9976,0.5,12.998,15,Night
Winter,5,Clear,-2.36,-6.9976,0.5,12.998,14,Night
Winter,5,Clear,-3.3,-8.0008,0.54,11.0014,5,Night
Winter,5,Clear,-3.3,-8.0008,0.54,8.9981,1,Night
Winter,5,Clear,-3.3,-6.9976,0.54,7.0015,1,Night
Winter,5,Clear,-3.3,-6.9976,0.54,6.0032,8,Morning
Winter,5,Clear,-3.3,-4.0012,0.54,0,17,Morning
Winter,5,Clear,-3.3,-8.0008,0.74,11.0014,70,Morning
Winter,5,Clear,-2.36,-4.9978,0.68,0,158,Morning
Winter,5,Clear,-1.42,-6.001,0.69,8.9981,117,Morning
Winter,5,Clear,0.46,-4.0012,0.55,12.998,44,Morning
Winter,5,Clear,0.46,-4.9978,0.51,19.0012,53,Morning
Winter,5,Clear,1.4,-2.998,0.44,16.9979,61,Morning
Winter,5,Clear,2.34,-2.998,0.37,26.0027,77,Evening
Winter,5,Clear,2.34,-2.0014,0.41,19.0012,64,Evening
Winter,5,Clear,3.28,-0.0016,0.38,11.0014,68,Evening
Winter,5,Clear,2.34,-0.0016,0.41,7.0015,90,Evening
Winter,5,Clear,2.34,-0.9982,0.41,11.0014,159,Evening
Winter,5,Clear,1.4,1.0016,0.47,0,139,Evening
Winter,5,Clear,-0.48,-2.998,0.59,6.0032,92,Evening
Winter,5,Clear,0.46,-0.0016,0.59,0,68,Night
Winter,5,Clear,-0.48,-0.9982,0.69,0,52,Night
Winter,5,Mist,-0.48,-0.9982,0.69,0,36,Night
Winter,5,Mist,0.46,-0.0016,0.55,0,27,Night
Winter,6,Clear,0.46,-0.0016,0.55,0,28,Night
Winter,6,Mist,-0.48,-2.998,0.59,6.0032,20,Night
Winter,6,Mist,-0.48,-2.998,0.59,6.0032,12,Night
Winter,6,Mist,-0.48,-0.9982,0.59,0,8,Night
Winter,6,Mist,-0.48,-0.9982,0.59,0,5,Night
Winter,6,Clear,-0.48,-0.9982,0.59,0,1,Morning
Winter,6,Clear,-1.42,-4.9978,0.63,7.0015,3,Morning
Winter,6,Clear,-1.42,-2.0014,0.63,0,10,Morning
Winter,6,Clear,-1.42,-6.001,0.63,8.9981,23,Morning
Winter,6,Clear,-0.48,-4.0012,0.64,8.9981,33,Morning
Winter,6,Clear,0.46,-2.998,0.59,11.0014,59,Morning
Winter,6,Clear,1.4,-2.998,0.55,15.0013,72,Morning
Winter,6,Clear,3.28,-0.9982,0.48,15.0013,89,Morning
Winter,6,Clear,5.16,1.0016,0.38,19.9995,101,Evening
Winter,6,Clear,6.1,3.0014,0.39,19.0012,118,Evening
Winter,6,Mist,7.04,5.0012,0.36,12.998,129,Evening
Winter,6,Mist,7.98,5.9978,0.34,12.998,128,Evening
Winter,6,Mist,7.04,3.998,0.36,19.0012,83,Evening
Winter,6,Mist,6.1,3.0014,0.45,16.9979,84,Evening
Winter,6,Mist,7.04,3.998,0.39,16.9979,74,Evening
Winter,6,Mist,7.04,3.998,0.39,16.9979,41,Night
Winter,6,Mist,7.04,3.998,0.39,15.0013,57,Night
Winter,6,Mist,6.1,5.0012,0.42,7.0015,26,Night
Winter,6,Clear,6.1,3.0014,0.45,19.0012,44,Night
Winter,0,Clear,4.22,3.998,0.56,0,39,Night
Winter,0,Clear,4.22,1.9982,0.56,8.9981,23,Night
Winter,0,Clear,4.22,3.0014,0.56,6.0032,16,Night
Winter,0,Clear,2.34,1.9982,0.69,0,15,Night
Winter,0,Clear,4.22,1.0016,0.56,11.0014,1,Night
Winter,0,Mist,4.22,1.0016,0.56,11.0014,2,Morning
Winter,0,Mist,4.22,1.0016,0.56,11.0014,1,Morning
Winter,0,Mist,3.28,-2.0014,0.56,19.9995,3,Morning
Winter,0,Clear,2.34,-2.0014,0.55,19.0012,18,Morning
Winter,0,Clear,2.34,-2.0014,0.51,16.9979,32,Morning
Winter,0,Clear,2.34,-2.0014,0.51,19.0012,79,Morning
Winter,0,Clear,3.28,-0.9982,0.44,16.9979,93,Morning
Winter,0,Clear,3.28,-2.0014,0.41,19.0012,104,Morning
Winter,0,Clear,4.22,-0.9982,0.35,19.9995,118,Evening
Winter,0,Clear,5.16,1.9982,0.36,16.9979,91,Evening
Winter,0,Clear,4.22,-0.0016,0.38,16.9979,113,Evening
Winter,0,Clear,3.28,-0.9982,0.38,15.0013,99,Evening
Winter,0,Clear,2.34,-2.0014,0.37,16.9979,105,Evening
Winter,0,Clear,1.4,-2.0014,0.4,11.0014,67,Evening
Winter,0,Clear,0.46,-2.998,0.47,8.9981,61,Evening
Winter,0,Clear,0.46,-2.998,0.47,11.0014,57,Night
Winter,0,Clear,0.46,-2.998,0.51,11.0014,28,Night
Winter,0,Mist,1.4,-2.0014,0.49,8.9981,21,Night
Winter,0,Mist,1.4,-0.9982,0.4,7.0015,18,Night
Winter,1,Mist,1.4,-2.998,0.47,15.0013,17,Night
Winter,1,Mist,1.4,-2.998,0.44,12.998,16,Night
Winter,1,Mist,0.46,-4.9978,0.43,16.9979,8,Night
Winter,1,Mist,0.46,-4.0012,0.43,12.998,2,Night
Winter,1,Mist,0.46,-2.998,0.43,8.9981,3,Night
Winter,1,Mist,0.46,-2.998,0.43,11.0014,1,Morning
Winter,1,Mist,0.46,-4.0012,0.43,12.998,5,Morning
Winter,1,Mist,-0.48,-4.0012,0.5,8.9981,13,Morning
Winter,1,Mist,-0.48,-6.001,0.47,15.0013,33,Morning
Winter,1,Mist,-0.48,-6.001,0.47,15.0013,47,Morning
Winter,1,Mist,-0.48,-6.001,0.5,16.9979,57,Morning
Winter,1,Mist,-0.48,-6.001,0.55,12.998,64,Morning
Winter,1,Mist,0.46,-2.998,0.47,8.9981,80,Morning
Winter,1,Mist,0.46,-2.998,0.47,8.9981,93,Evening
Winter,1,Mist,0.46,-2.0014,0.43,7.0015,86,Evening
Winter,1,Mist,1.4,-2.0014,0.47,11.0014,93,Evening
Winter,1,Mist,1.4,-2.0014,0.47,11.0014,82,Evening
Winter,1,Clear,1.4,-2.998,0.51,12.998,71,Evening
Winter,1,Mist,0.46,-4.9978,0.55,16.9979,92,Evening
Winter,1,Light Rain,0.46,-4.0012,0.59,12.998,60,Evening
Winter,1,Light Rain,-0.48,-6.001,0.8,12.998,33,Night
Winter,1,Light Rain,-0.48,-6.001,0.8,12.998,27,Night
Winter,1,Light Rain,-1.42,-8.0008,0.93,16.9979,13,Night
Winter,1,Light Rain,-0.48,-6.9976,0.86,19.0012,4,Night
Winter,2,Mist,1.4,-4.0012,0.86,22.0028,3,Morning
Winter,2,Mist,1.4,-2.998,0.86,15.0013,22,Evening
Winter,2,Mist,2.34,-0.9982,0.8,11.0014,28,Evening
Winter,2,Mist,2.34,-0.9982,0.87,11.0014,35,Evening
Winter,2,Mist,2.34,-0.9982,0.87,12.998,61,Evening
Winter,2,Mist,2.34,-0.9982,0.82,12.998,125,Evening
Winter,2,Mist,2.34,-0.9982,0.8,11.0014,133,Evening
Winter,2,Mist,2.34,-0.9982,0.8,8.9981,99,Evening
Winter,2,Mist,2.34,1.9982,0.87,0,83,Night
Winter,2,Mist,2.34,-0.0016,0.93,7.0015,41,Night
Winter,2,Mist,2.34,1.0016,0.93,6.0032,33,Night
